Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
Viêm khớp,sưng tấy,yếu,đau nhức,biến dạng khớp,đỏ xung quanh khớp,nhiệt độ khớp,đau khớp,cứng khớp,,
Lo âu,đau ngực,rối loạn tiêu hóa,khó thở,cảm giác bất an,run rẩy,mệt mỏi,lo lắng thái quá,đau đầu,khó ngủ,hồi hộp
Ung thư buồng trứng,tiểu nhiều hoặc tiểu khó,sút cân không rõ lý do,đau bụng,khó tiêu,đau khi quan hệ,,,,,
Sa sút trí tuệ,khó khăn trong việc ra quyết định,khó nhận diện người thân,trầm cảm,cảm giác bị mất kiểm soát,thay đổi tính cách,mất khả năng hoàn thành công việc đơn giản,,,,
Bệnh gan,đau bụng,buồn nôn,sưng chân,dễ bị bầm tím,vàng da,nước tiểu màu đậm,phân nhạt màu,ngứa,,
Bệnh Crohn,tiêu chảy,giảm cân,mệt mỏi,vết loét miệng,máu trong phân,mất cảm giác ngon miệng,buồn nôn,chảy máu trực tràng,,
Bulimia,mệt mỏi,trầm cảm,thay đổi trọng lượng cơ thể,cảm giác mất kiểm soát,cảm giác xấu hổ khi ăn,lo âu về hình dáng cơ thể,,,,
Thai ngoài tử cung,đau khi đi vệ sinh,chậm kinh,chóng mặt,buồn nôn,mệt mỏi,đau khi ho,ra máu âm đạo,cảm giác nặng bụng,,
Nhồi máu cơ tim,chóng mặt,đau cánh tay,đau ngực,khó thở,ra mồ hôi,đau hàm,mệt mỏi,chứng khó tiêu,,
Viêm khớp,mệt mỏi,biến dạng khớp,yếu,nhiệt độ khớp,giảm phạm vi vận động,,,,,
Lupus ban đỏ hệ thống,da sạm,sốt,viêm màng phổi,chóng mặt,rụng tóc,đau khớp,phát ban cánh bướm,mệt mỏi,,
Sa sút trí tuệ,mất trí nhớ,cảm giác bị mất kiểm soát,cảm giác lạc lõng,trầm cảm,thay đổi tính cách,,,,,
Thiếu sắt,chóng mặt,khó tập trung,đau đầu,chân tay lạnh,khó thở,tim đập nhanh,rụng tóc,,,
Hội chứng mệt mỏi mãn tính,mệt mỏi không rõ nguyên nhân,trí nhớ kém,khó ngủ,đau đầu,đau cơ,cảm giác không phục hồi sau giấc ngủ,,,,
Sỏi mật,nôn mửa,khó tiêu,vàng da,sút cân,đau sau ăn,chán ăn,,,,
Ung thư tụy,giảm cân không rõ lý do,vàng da,buồn nôn,khó thở,đau bụng,tiêu chảy,sốt,mất cảm giác thèm ăn,đau lưng,
Thủy đậu,đau đầu,phát ban ngứa,chán ăn,vảy,đau cơ,mệt mỏi,sốt,,,
Ung thư nội mạc tử cung,đau lưng,mệt mỏi,đau bụng dưới,đau khi quan hệ,khó tiêu,sút cân,đau xương chậu,,,
Suy giáp,da khô,chậm nhịp tim,giọng khàn,rụng tóc,kinh nguyệt không đều,mệt mỏi,,,,
Rối loạn lưỡng cực,dễ nổi giận,nói nhiều,vấn đề với hành vi,cảm giác cực kỳ vui vẻ,suy nghĩ nhanh,,,,,
Ung thư,ho kéo dài,thay đổi da,máu trong phân,giảm cân không rõ lý do,khó nuốt,khó thở,thay đổi thói quen đại tiện hoặc tiểu tiện,,,
Bệnh máu khó đông,dễ bầm tím,sưng khớp,đau khớp,chảy máu mũi,xuất huyết trong cơ,chảy máu răng,đau bụng,mệt mỏi,cảm giác nặng nề ở tay chân,chảy máu bất thường
Rối loạn hình thể cơ thể,suy nghĩ quá nhiều về ngoại hình,cảm giác căng thẳng,cảm giác không hài lòng với hình dáng cơ thể,rối loạn ăn uống,lo âu,khó kết nối xã hội,vấn đề với tự nhận thức cơ thể,lo âu về cân nặng,,
Rối loạn phổ tự kỷ (ASD),thiếu sự quan tâm đến trò chơi nhóm,vấn đề với tương tác xã hội,không hiểu cảm xúc người khác,khó duy trì các mối quan hệ,mất tập trung,khó khăn trong giao tiếp xã hội,hành vi lặp lại,lặp lại hành động hoặc lời nói,thiếu khả năng diễn đạt cảm xúc,không thích sự thay đổi
Trào ngược dạ dày thực quản,ho khan,khó thở,cảm giác nóng rát,chảy máu thực quản,chứng ợ nóng,khó ngủ,đầy hơi,đau họng,,
Nấm da,da khô,tạo vết nứt,đau khi chạm vào,lột da,lở loét,ngứa da,sưng da,vảy da,,
Ung thư tụy,sốt,mất cảm giác thèm ăn,mệt mỏi,buồn nôn,khó thở,tiêu chảy,đau lưng,,,
Sa sút trí tuệ,khó nhận diện người thân,trầm cảm,khó khăn trong việc ra quyết định,mất khả năng hoàn thành công việc đơn giản,lúng túng trong giao tiếp,cảm giác lạc lõng,cảm giác bị mất kiểm soát,mất trí nhớ,,
Ung thư vú,cảm giác nặng nề,mệt mỏi,đau vú,sưng hạch bạch huyết ở nách,thay đổi kích thước hoặc hình dạng vú,khối u trong vú,chảy dịch từ vú,đau khi chạm vào vú,thay đổi màu sắc da quanh vú,sụt cân không rõ lý do
HIV,phát ban,đau họng,đau cơ,đổ mồ hôi ban đêm,sút cân,khó thở,viêm hạch bạch huyết,chán ăn,,
Ung thư tuyến tiền liệt,đau khi đi tiểu,tiểu khó,"đi tiểu thường xuyên, đặc biệt vào ban đêm",buồn nôn,đau vùng lưng dưới,mệt mỏi,sút cân nhanh,,,
Viêm khớp dạng thấp,sưng khớp,sốt,mệt mỏi,khó ngủ,chán ăn,tê,trầm cảm,cứng khớp buổi sáng,đau khớp,giảm cân
Ngưng thở khi ngủ,buồn ngủ ban ngày,thở dốc khi ngủ,khô miệng khi thức dậy,ngáy to,khó tập trung,tỉnh giấc đột ngột,khó thở khi ngủ,mệt mỏi vào buổi sáng,tiếng thở rít khi ngủ,
Rối loạn ám ảnh cưỡng chế (OCD),cảm giác cần phải làm theo một cách cụ thể,lo ngại về sự không sạch sẽ,lo lắng quá mức,mất thời gian vào suy nghĩ tiêu cực,lặp lại hành động hoặc suy nghĩ,hoặc làm điều gì đó,khó kiểm soát cảm xúc,mặc cảm tội lỗi,không thể ngừng suy nghĩ về một điều gì đó,
Hội chứng Guillain-Barré,sốt,yếu cơ,giảm phản xạ,mất cảm giác ở tay và chân,khó thở,đau lưng,tê tay chân,,,
Ung thư tuyến tiền liệt,sút cân nhanh,máu trong nước tiểu,đau vùng lưng dưới,đau vùng xương chậu,đau khi đi tiểu,tiểu khó,"đi tiểu thường xuyên, đặc biệt vào ban đêm",rối loạn cương dương,buồn nôn,mệt mỏi
Lymphoma,giảm cân không rõ lý do,rùng mình,nhiễm trùng thường xuyên,hạch bạch huyết sưng,ra mồ hôi đêm,ngứa,,,,
Sẩy thai,đau bụng,buồn nôn,đau khi quan hệ,đau lưng,vàng da,khó tiêu,ra máu âm đạo,mệt mỏi,khó thở,rối loạn nội tiết
Ung thư phổi,chán ăn,ho kéo dài,đau ngực,ho ra máu,mệt mỏi,,,,,
Uốn ván,khó mở miệng,đau họng,đau đầu,khó nuốt,ra mồ hôi,co giật,chuột rút hàm,sốt,hay cáu gắt,
Zona,buồn nôn,mệt mỏi,đau nhức,sốt,phát ban đau,cảm giác cháy,phỏng rộp,,,
Viêm bàng quang,ớn lạnh,tiểu nhiều lần,nước tiểu đục,cảm giác buồn tiểu liên tục,nước tiểu có mùi khó chịu,sốt,buồn nôn,mệt mỏi,tiểu đau,đau bụng dưới
Cảm cúm,đau đầu,nghẹt mũi,mệt mỏi,sổ mũi,rùng mình,đau cơ,sốt,,,
Ung thư bàng quang,tiểu ra máu,mệt mỏi,khó tiểu,buồn nôn,tiểu không hết,đau khi tiểu,sút cân,đi tiểu thường xuyên,đau lưng dưới,
Hen suyễn,mệt mỏi,thở nhanh,ho,đau ngực,khó thở,,,,,
Tiền sản giật,sốt,khó thở,buồn nôn,cao huyết áp,đau đầu,đau bụng trên,,,,
Sẩy thai,đau bụng,rối loạn nội tiết,đau lưng,buồn nôn,mệt mỏi,ra máu âm đạo,,,,
Ngưng thở khi ngủ,ngáy to,khô miệng khi thức dậy,tỉnh giấc đột ngột,buồn ngủ ban ngày,mệt mỏi vào buổi sáng,khó thở khi ngủ,tiếng thở rít khi ngủ,,,
Bệnh Behçet,phát ban,sốt,giảm trí nhớ,đau bụng,đau cơ,lở loét miệng,,,,
Thiếu máu hồng cầu hình liềm,sút cân,đau ngực,đau xương khớp,khó thở,vàng da,buồn nôn,đau bụng,da nhợt nhạt,,
Zona,đau đầu,sốt,buồn nôn,ngứa,phát ban đau,cảm giác cháy,,,,
Hội chứng ruột kích thích (IBS),đau khi đi tiêu,sút cân,khó tiêu,tiêu chảy,táo bón,đau bụng,đầy hơi,mệt mỏi,sưng bụng,chán ăn
Bệnh cơ xơ hóa,hạn chế tầm vận động,suy giảm khả năng di chuyển,đau cơ,cứng cơ,khó thở,đau khớp,ho khan,tăng huyết áp,mất cân bằng điện giải,mệt mỏi
U ác tính,sốt,đau ngực,mệt mỏi,khối u,khó nuốt,,,,,
Xơ vữa động mạch,khó đi lại,chóng mặt,cảm giác ngứa,tê,yếu cơ,chuột rút cơ,mệt mỏi,,,
Mụn,ngứa,mụn bọc,mụn đầu đen,mụn trứng cá,mụn mủ,da dầu,,,,
Lymphoma,giảm cân không rõ lý do,sốt,hạch bạch huyết sưng,ra mồ hôi đêm,mệt mỏi,đau bụng,nhiễm trùng thường xuyên,rùng mình,ngứa,chán ăn
Ung thư tụy,vàng da,sốt,đau lưng,mất cảm giác thèm ăn,tiêu chảy,khó thở,buồn nôn,,,
Sởi,sổ mũi,đốm trắng trong miệng,chán ăn,phát ban,mệt mỏi,,,,,
Herpes,ngứa,phát ban,đau cơ,đau đầu,buồn nôn,,,,,
Bệnh Parkinson,cứng cơ,vấn đề cân bằng,chuột rút cơ,khó đi lại,đi bộ lê từng bước,,,,,
Tả,mệt mỏi,nôn,huyết áp thấp,nhịp tim nhanh,tiêu chảy có nước,chuột rút cơ,,,,
Trào ngược dạ dày thực quản,chứng ợ nóng,chảy máu thực quản,khó ngủ,đau họng,đầy hơi,khó nuốt,khó thở,cảm giác nóng rát,,
Ung thư vú,mệt mỏi,thay đổi kích thước hoặc hình dạng vú,đau khi chạm vào vú,chảy dịch từ vú,sụt cân không rõ lý do,khối u trong vú,đau vú,cảm giác nặng nề,,
Lo âu,cảm giác bất an,khó ngủ,rối loạn tiêu hóa,mệt mỏi,run rẩy,khó thở,hồi hộp,lo lắng thái quá,đau đầu,
Bệnh Crohn,đau bụng,vết loét miệng,máu trong phân,tiêu chảy,sốt,chảy máu trực tràng,mất cảm giác ngon miệng,buồn nôn,,
Gonorrhea,đau khi đi tiểu,ngứa,sưng vùng kín,đau khi quan hệ,sốt,mệt mỏi,buồn nôn,chảy mủ từ dương vật,đau bụng dưới,ra dịch âm đạo
Loét dạ dày tá tràng,nôn mửa,sút cân,tiêu chảy,đau bụng,cảm giác nóng rát,khó tiêu,buồn nôn,đầy hơi,chán ăn,
Xơ vữa động mạch,vấn đề về thị lực,cảm giác ngứa,chuột rút cơ,mờ mắt,tê,,,,,
HIV,đau họng,viêm hạch bạch huyết,đau cơ,phát ban,đổ mồ hôi ban đêm,chán ăn,sốt,,,
Eczema,đau da,ngứa da,khô da,mẩn đỏ,chàm,vảy da,dễ bị viêm nhiễm,dễ bị kích ứng,khó chịu,
Ung thư,thay đổi thói quen đại tiện hoặc tiểu tiện,ho kéo dài,khó thở,thay đổi da,cục u,đau,máu trong phân,mệt mỏi,,
Cảm cúm,đau họng,nôn,sốt,đau đầu,rùng mình,đau cơ,sổ mũi,,,
Ung thư vú,thay đổi màu sắc da quanh vú,khối u trong vú,đau khi chạm vào vú,đau vú,cảm giác nặng nề,,,,,
Bệnh phổi tắc nghẽn mãn tính (COPD),ho kéo dài,khó thở,ho có đờm,thở nhanh,khò khè,khó thở khi gắng sức,tiếng thở có âm thanh,sút cân,đau ngực,mệt mỏi
Thiếu máu,đau cơ,sút cân,da nhợt nhạt,lạnh tay chân,nhức đầu,mệt mỏi,,,,
Tiền sản giật,nôn mửa,buồn nôn,sưng chân tay,mệt mỏi,đau bụng trên,khó thở,đau đầu,sốt,,
Chấy,cảm giác châm chích,tóc rụng,cảm giác ngứa khi chải tóc,ngứa da đầu,sử dụng lược chấy,gàu,sưng đỏ da đầu,viêm da đầu,,
Bệnh phong,tắc nghẽn mũi,da đổi màu,yếu cơ,tê,mất cảm giác,nerv lớn phì đại,vấn đề về mắt,,,
Gout,tiểu gắt,khó di chuyển,buồn nôn,sưng khớp,mệt mỏi,sút cân,cảm giác nóng ở khớp,đau khớp đột ngột,đau lưng,
Sản giật,huyết áp cao,khó thở,đau đầu,đau bụng,thở nhanh,mệt mỏi,sưng tay chân,,,
Hội chứng Guillain-Barré,mất cảm giác ở tay và chân,mất khả năng vận động,giảm phản xạ,tê tay chân,cảm giác kim châm trên da,sốt,khó thở,,,
Tiểu đường,tiểu nhiều lần,thèm ăn cực độ,khát nước,mờ mắt,giảm cân không rõ lý do,tê hoặc ngứa,mệt mỏi,,,
Rối loạn căng thẳng sau chấn thương (PTSD),thay đổi cảm xúc,trầm cảm,đặc biệt dễ giật mình,lo âu,hoảng loạn,cảm giác tách biệt với mọi người,mất ngủ,cảm giác căng thẳng,,
Rối loạn hình thể cơ thể,vấn đề với tự nhận thức cơ thể,thường xuyên so sánh bản thân với người khác,trầm cảm,cảm giác không hài lòng với hình dáng cơ thể,lo âu,lo âu về cân nặng,rối loạn ăn uống,,,
Viêm bàng quang,đau bụng dưới,tiểu đau,sốt,tiểu nhiều lần,nước tiểu có mùi khó chịu,mệt mỏi,ớn lạnh,,,
Rối loạn hoảng sợ,buồn nôn,cảm giác choáng váng,đột ngột cảm giác sợ hãi,rối loạn nhịp tim,mồ hôi vã ra,mệt mỏi,khó thở,đau ngực,run rẩy,
Rối loạn lưỡng cực,thay đổi đột ngột tâm trạng,dễ nổi giận,nói nhiều,trầm cảm,suy nghĩ nhanh,cảm giác cực kỳ vui vẻ,khó khăn trong kiểm soát cảm xúc,cảm giác bồn chồn,,
Bulimia,thay đổi trọng lượng cơ thể,nôn mửa,khó tiêu,cảm giác mất kiểm soát,lo âu về hình dáng cơ thể,mệt mỏi,cảm giác xấu hổ khi ăn,ăn uống vô độ,,
Ung thư tuyến tiền liệt,mệt mỏi,đau vùng lưng dưới,buồn nôn,đau vùng xương chậu,đau khi đi tiểu,tiểu khó,sút cân nhanh,"đi tiểu thường xuyên, đặc biệt vào ban đêm",máu trong nước tiểu,rối loạn cương dương
Chán ăn,cảm giác no ngay cả khi không ăn,giảm cân nhanh,cảm giác tội lỗi khi ăn,mệt mỏi,khó ngủ,mất tự tin,buồn nôn,mất cảm giác thèm ăn,chóng mặt,
Bệnh Behçet,sốt,đau cơ,mệt mỏi,lở loét miệng,giảm trí nhớ,sưng khớp,viêm mắt,,,
Chán ăn,suy nhược cơ thể,mệt mỏi,khó ngủ,cảm giác no ngay cả khi không ăn,mất cảm giác thèm ăn,buồn nôn,cảm giác tội lỗi khi ăn,mất tự tin,giảm cân nhanh,chóng mặt
Sa sút trí tuệ,cảm giác bị mất kiểm soát,lúng túng trong giao tiếp,khó khăn trong việc ra quyết định,trầm cảm,khó nhớ tên,thay đổi tính cách,mất khả năng hoàn thành công việc đơn giản,cảm giác lạc lõng,,
Bệnh botulism,mắt nhìn mờ,nôn mửa,khô miệng,sụp mí mắt,mệt mỏi,,,,,
Bệnh phong,sưng,mất cảm giác,nerv lớn phì đại,yếu cơ,tổn thương da,vấn đề về mắt,sẹo,tắc nghẽn mũi,tê,
Dại,sốt,mơ hồ,kích động,bị liệt,co giật,mất ngủ,chảy nước dãi quá mức,khó nuốt,,
Viêm khớp,sưng tấy,cứng khớp,đau khớp,đau nhức,nhiệt độ khớp,giảm phạm vi vận động,mệt mỏi,,,
Loét dạ dày tá tràng,buồn nôn,chảy máu dạ dày,tiêu chảy,chán ăn,nôn mửa,sút cân,đau bụng,cảm giác nóng rát,khó tiêu,đầy hơi
Bệnh Myasthenia,yếu khi mệt mỏi,mệt mỏi,yếu cơ mặt,yếu cơ,khó ngủ,khó thở khi ngủ,,,,
Viêm gan,sốt,phân nhạt màu,chán ăn,đau khớp,đau bụng,buồn nôn,vàng da,đau cơ,nước tiểu sẫm màu,mệt mỏi
Sốt rét,mệt mỏi,buồn nôn,đau đầu,thiếu máu,đau cơ,sốt,thở nhanh,rùng mình,mồ hôi,nôn
Bệnh Alzheimer,không nhận ra nơi quen thuộc,thay đổi tính cách,khó lập kế hoạch,khó giải quyết vấn đề,mơ hồ,,,,,
Bệnh phong,sưng,da đổi màu,yếu cơ,nerv lớn phì đại,tổn thương da,vấn đề về mắt,mất cảm giác,tê,sẹo,tắc nghẽn mũi
Chlamydia,sốt,tiểu buốt,đau khi quan hệ,ngứa,đau khi đi tiểu,,,,,
Ung thư cổ tử cung,đau vùng chậu,mệt mỏi,giảm cân,đau lưng,sưng chân,tiết dịch âm đạo bất thường,đau khi quan hệ,,,
Suy tim,tăng cân,khó tập thể dục,thở khò khè,nhịp tim không đều,tiểu thường xuyên,khó thở,chán ăn,mệt mỏi,,
Ung thư buồng trứng,đau khi quan hệ,mệt mỏi,đau bụng,sút cân không rõ lý do,chướng bụng,,,,,
Chấy,lây lan sang người khác,gàu,sưng đỏ da đầu,viêm da đầu,sử dụng lược chấy,,,,,
Virus Zika,đau bụng,sốt,đau khớp,mệt mỏi,phát ban,buồn nôn,sưng khớp,đau cơ,viêm kết mạc,đau đầu
Bệnh Huntington,yếu cơ,chóng mặt,trí nhớ giảm sút,khó nói,mất thăng bằng,trầm cảm,,,,
Thủy đậu,chán ăn,phát ban ngứa,đau đầu,đau họng,sốt,nốt phỏng,vảy,mệt mỏi,,
Mụn,da dầu,vết thâm sau mụn,mụn bọc,mụn gây sưng đỏ,ngứa,mụn trứng cá,mụn viêm,mụn đầu đen,mụn mủ,đau khi chạm vào
Ung thư đại trực tràng,đau khi đi tiêu,mệt mỏi,máu trong phân,tiêu chảy hoặc táo bón,thay đổi thói quen đi tiêu,sút cân không rõ lý do,,,,
Viêm loét đại tràng,đau trực tràng,buồn nôn,tăng tần suất đi vệ sinh,đau bụng,mệt mỏi,tiêu chảy có máu,,,,
Tiêu chảy,khó chịu ở bụng,khó chịu,nôn mửa,tiêu chảy kéo dài,thường xuyên phải đi vệ sinh,sốt,đau khi đi tiêu,mệt mỏi,,
Viêm khớp dạng thấp,sốt,khó ngủ,tê,chán ăn,sưng khớp,,,,,
Viêm màng não,co giật,lú lẫn,đau đầu dữ dội,hôn mê,cứng cổ,đau cơ,buồn nôn,sợ ánh sáng,mệt mỏi,
Động kinh,chuột rút cơ,mơ hồ,co giật,mơ hồ sau cơn co giật,cảm giác trước khi co giật,chuyển động không kiểm soát,mất trí nhớ tạm thời,,,
Rối loạn lưỡng cực,cảm giác cực kỳ vui vẻ,trầm cảm,dễ nổi giận,khó khăn trong kiểm soát cảm xúc,nói nhiều,,,,,
Herpes,vùng da đau nhức,đau khi tiểu,vết loét trên cơ thể,đau đầu,ngứa,,,,,
Ung thư phổi,giảm cân,ho ra máu,chán ăn,ho có đờm,thở nhanh hoặc khó khăn khi gắng sức,,,,,
Đột quỵ,đau đầu dữ dội,nói ngọng,khó đi lại,tê bì đột ngột,khó nhìn,yếu một bên cơ thể,mơ hồ,chóng mặt,mất phối hợp,khó nuốt
Bệnh Celiac,đầy hơi,sang thương da,khó tiêu,đau bụng,sút cân,chướng bụng,thường xuyên cảm giác ốm yếu,mệt mỏi,tiêu chảy,
Viêm da cơ địa,da bị viêm,da dày hơn,da sưng,nứt nẻ da,ngứa dai dẳng,,,,,
Sa sút trí tuệ,cảm giác lạc lõng,khó nhận diện người thân,khó nhớ tên,mất trí nhớ,trầm cảm,cảm giác bị mất kiểm soát,thay đổi tính cách,,,
Xơ vữa động mạch,tê,rối loạn trí nhớ,chóng mặt,mờ mắt,cảm giác ngứa,khó đi lại,chuột rút cơ,yếu cơ,vấn đề về thị lực,mệt mỏi
Sarcoidosis,sốt,phát ban,đau ngực,mệt mỏi,ho khan,đau bụng,khó thở,phù,sút cân,đau khớp
Rối loạn căng thẳng sau chấn thương (PTSD),trầm cảm,mơ lại giấc mơ xấu,đặc biệt dễ giật mình,mất ngủ,hoảng loạn,cảm giác căng thẳng,,,,
Trầm cảm,không có hứng thú với các hoạt động,khó ngủ,buồn bã,sút cân hoặc tăng cân,suy nghĩ tiêu cực,cảm giác vô vọng,giảm khả năng tập trung,cảm giác có lỗi,nghĩ đến cái chết,mệt mỏi
Chlamydia,ngứa,tiểu buốt,đau khi quan hệ,đau khi đi tiểu,đau lưng,,,,,
Tiểu đường,nhiễm trùng thường xuyên,giảm cân không rõ lý do,da khô,thèm ăn cực độ,mệt mỏi,,,,,
Loãng xương,đau cổ,mỏi cơ,khó đi lại,yếu cơ,cứng khớp,đau lưng,gãy xương dễ dàng,,,
Suy tim,tiểu thường xuyên,tăng cân,thở khò khè,mệt mỏi,khó tập thể dục,chán ăn,ho dai dẳng,khó thở,,
Sốt rét,buồn nôn,mệt mỏi,rùng mình,mồ hôi,đau cơ,thiếu máu,sốt,đau đầu,,
Hội chứng Guillain-Barré,mất khả năng vận động,mất cảm giác ở tay và chân,giảm phản xạ,cảm giác kim châm trên da,yếu cơ,sốt,đau cơ,tê tay chân,,
Mumps,chán ăn,sưng tinh hoàn,sưng tuyến nước bọt,đau họng,đau nhức,,,,,
Eczema,da bị nứt nẻ,ngứa da,dễ bị kích ứng,khô da,khó chịu,vảy da,,,,
Suy giáp,tăng cân,mệt mỏi,trầm cảm,rụng tóc,khó chịu với lạnh,kinh nguyệt không đều,,,,
Lạc nội mạc tử cung,tiểu buốt,kinh nguyệt không đều,đau vùng chậu,đau khi đi tiểu,chảy máu giữa kỳ kinh,đau lưng,đau bụng,,,
Táo bón,sút cân,khó đi tiêu,cảm giác không thể đi vệ sinh hết,đau bụng,mệt mỏi,,,,,
Bệnh Behçet,mệt mỏi,viêm mắt,sưng khớp,sốt,giảm trí nhớ,loét sinh dục,phát ban,đau bụng,,
Virus Zika,đau cơ,sốt,đau khớp,đau đầu,phát ban,buồn nôn,viêm kết mạc,sưng khớp,đau bụng,
Ung thư đại trực tràng,màu phân thay đổi,nôn mửa,đau bụng,tiêu chảy hoặc táo bón,sút cân không rõ lý do,thay đổi thói quen đi tiêu,mệt mỏi,khó tiêu,đau khi đi tiêu,máu trong phân
Ngưng thở khi ngủ,ngáy to,khô miệng khi thức dậy,đau đầu,thở dốc khi ngủ,khó tập trung,buồn ngủ ban ngày,khó thở khi ngủ,mệt mỏi vào buổi sáng,tiếng thở rít khi ngủ,tỉnh giấc đột ngột
Sốt thương hàn,đau cơ,đau bụng,tiêu chảy,chán ăn,yếu,sốt,,,,
Ung thư nội mạc tử cung,đau xương chậu,đau bụng dưới,đau khi quan hệ,mệt mỏi,khó tiêu,,,,,
Herpes,vết loét trên cơ thể,đau đầu,đau cơ,phát ban,ngứa,,,,,
Thiếu máu,chóng mặt,sút cân,đau cơ,mệt mỏi,thở nhanh,,,,,
Nấm da,lột da,đau khi chạm vào,tạo vết nứt,sưng da,mẩn đỏ,da khô,vảy da,,,
Sốt thấp khớp,đau cơ,buồn nôn,viêm họng,viêm tim,khó thở,chóng mặt,phát ban,mệt mỏi,sốt,đau khớp
Thoát vị,tăng áp lực bụng,tăng áp lực khi đi vệ sinh,cảm giác căng tức,cảm giác nặng nề,đau xương chậu,khó thở,đau khi ho hoặc căng thẳng,sưng vùng bụng,đau khi di chuyển,
Herpes,buồn nôn,phát ban,mệt mỏi,đau cơ,vùng da đau nhức,,,,,
Virus Zika,sưng khớp,đau bụng,sốt,phát ban,đau khớp,mệt mỏi,viêm kết mạc,đau đầu,,
Thoái hóa khớp,đỏ xung quanh khớp,yếu cơ,đau khớp,lạo xạo trong khớp,mệt mỏi,cứng khớp,sưng tấy,đau dai dẳng,,
Hội chứng Guillain-Barré,sốt,tê tay chân,mất cảm giác ở tay và chân,yếu cơ,đau lưng,cảm giác kim châm trên da,,,,
Viêm gan,đau khớp,đau bụng,đau cơ,nước tiểu sẫm màu,phân nhạt màu,buồn nôn,chán ăn,sốt,vàng da,mệt mỏi
Tiểu đường,giảm cân không rõ lý do,thèm ăn cực độ,nhiễm trùng thường xuyên,mệt mỏi,tê hoặc ngứa,da khô,lành vết thương chậm,khát nước,,
Nấm da,sưng da,lột da,đau khi chạm vào,vảy da,lở loét,tạo vết nứt,da khô,vết thương lâu lành,,
Suy giáp,khó chịu với lạnh,rụng tóc,mệt mỏi,phù mặt,kinh nguyệt không đều,da khô,trầm cảm,tăng cân,giọng khàn,chậm nhịp tim
Tả,mệt mỏi,tiêu chảy có nước,miệng khô,nôn,nhịp tim nhanh,mắt trũng,mất nước,,,
Xơ nang,nhiễm trùng phổi thường xuyên,móng tay hoặc móng chân sưng,nhiễm trùng xoang thường xuyên,tăng trưởng kém,khó thở,vấn đề tiêu hóa,khó tăng cân,ho ra đờm đặc,da có vị mặn,
Bệnh Myasthenia,đầy bụng,yếu cơ mặt,khó ngủ,khó nuốt,khó thở,khó thở khi ngủ,mệt mỏi,đau cơ,,
Bệnh Crohn,máu trong phân,sốt,đau bụng,buồn nôn,mất cảm giác ngon miệng,vết loét miệng,mệt mỏi,giảm cân,tiêu chảy,
HIV,mệt mỏi,chán ăn,khó thở,viêm hạch bạch huyết,phát ban,đổ mồ hôi ban đêm,đau họng,sút cân,đau cơ,sốt
Ung thư tuyến tiền liệt,sút cân nhanh,tiểu khó,buồn nôn,đau vùng xương chậu,đau vùng lưng dưới,máu trong nước tiểu,đau khi đi tiểu,"đi tiểu thường xuyên, đặc biệt vào ban đêm",mệt mỏi,rối loạn cương dương
Đột quỵ,mất phối hợp,khó nuốt,nói ngọng,khó đi lại,chóng mặt,khó nhìn,,,,
Trào ngược dạ dày thực quản,cảm giác nóng rát,khó ngủ,khó thở,đau ngực,ho khan,chảy máu thực quản,chứng ợ nóng,,,
Lupus ban đỏ hệ thống,chóng mặt,viêm màng phổi,rụng tóc,đau khớp,phát ban cánh bướm,,,,,
Loét dạ dày tá tràng,chán ăn,buồn nôn,khó tiêu,cảm giác nóng rát,nôn mửa,,,,,
Bệnh Huntington,cử động không kiểm soát,khó nói,mất thăng bằng,chóng mặt,thay đổi hành vi,yếu cơ,trầm cảm,mất tập trung,giảm cân,trí nhớ giảm sút
Chán ăn,giảm cân nhanh,mất tự tin,mất cảm giác thèm ăn,buồn nôn,cảm giác tội lỗi khi ăn,,,,,
Sốt thấp khớp,đau cơ,mệt mỏi,đau khớp,khó thở,viêm tim,phát ban,chóng mặt,viêm họng,buồn nôn,
Lymphoma,hạch bạch huyết sưng,rùng mình,chán ăn,mệt mỏi,ngứa,giảm cân không rõ lý do,sốt,nhiễm trùng thường xuyên,đau bụng,ra mồ hôi đêm
Sỏi mật,đau lưng,sút cân,chán ăn,vàng da,buồn nôn,,,,,
Gonorrhea,mệt mỏi,đau khi quan hệ,sưng vùng kín,buồn nôn,ra dịch âm đạo,chảy mủ từ dương vật,đau bụng dưới,sốt,ngứa,đau khi đi tiểu
Ung thư bàng quang,đau lưng dưới,buồn nôn,đi tiểu thường xuyên,đau khi tiểu,đau xương chậu,tiểu không hết,mệt mỏi,tiểu ra máu,,
Bệnh Parkinson,run,thay đổi giọng nói,khó đi lại,cúi người,cứng cơ,chậm vận động,chuột rút cơ,đi bộ lê từng bước,,
Mumps,đau họng,mệt mỏi,chán ăn,sốt,sưng tuyến nước bọt,nuốt đau,đau cơ,đau đầu,sưng tinh hoàn,
Hội chứng buồng trứng đa nang (PCOS),tăng cân,rối loạn tâm lý,da dầu,đau bụng,rối loạn nội tiết,kinh nguyệt không đều,,,,
Loãng xương,cứng khớp,chuột rút,khó đi lại,gãy xương dễ dàng,đau lưng,giảm chiều cao,đau cổ,yếu cơ,,
